base_name,percentage_within_threshold
ground_ground_753_gt.ply,0.0
ground_ground_5_gt.ply,0.0
ground_ground_603_gt.ply,0.0
ground_ground_757_gt.ply,0.0
ground_ground_705_gt.ply,0.0
ground_ground_241_gt.ply,0.0
ground_ground_399_gt.ply,0.0
ground_ground_47_gt.ply,0.0
ground_ground_600_gt.ply,0.0
ground_ground_171_gt.ply,0.0
ground_ground_103_gt.ply,0.0
ground_ground_102_gt.ply,0.0
ground_ground_365_gt.ply,0.0
ground_ground_689_gt.ply,0.0
ground_ground_427_gt.ply,0.0
ground_ground_702_gt.ply,0.0
ground_ground_172_gt.ply,0.0
ground_ground_120_gt.ply,0.0
ground_ground_569_gt.ply,0.0
ground_ground_29_gt.ply,0.0
ground_ground_517_gt.ply,0.0
ground_ground_752_gt.ply,0.0
ground_ground_0_gt.ply,0.0
ground_ground_69_gt.ply,0.0
ground_ground_646_gt.ply,0.0
ground_ground_716_gt.ply,0.0
ground_ground_590_gt.ply,0.0
ground_ground_431_gt.ply,0.0
ground_ground_408_gt.ply,0.0
ground_ground_751_gt.ply,0.0
ground_ground_734_gt.ply,0.0
ground_ground_738_gt.ply,0.0
ground_ground_417_gt.ply,0.0
ground_ground_258_gt.ply,0.0
ground_ground_336_gt.ply,0.0
ground_ground_665_gt.ply,0.0
